Codigo | Nombre | Path | Padre | Fecha | Raiz
071.PD044 - Pick up slip joint - termination joint R.01 (28-Mar-15) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD044 - Pick up slip joint - termination joint R.01 (28-Mar-15) nc.pdf | Drilling 071 PDF Uncontrolled | 18-04-2015 | Drilling 071 PDF Uncontrolled
071.PD045 - Picking up 4 joints of DC in mouse holes and racking back in fingerboard-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD045 - Picking up 4 joints of DC in mouse holes and racking back in fingerboard-nc.pdf | Drilling 071 PDF Uncontrolled | 10-07-2013 | Drilling 071 PDF Uncontrolled
071.PD046 - Picking up & laying down pipe with PDPH crane R.01 (20-Nov-15).pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD046 - Picking up & laying down pipe with PDPH crane R.01 (20-Nov-15).pdf | Drilling 071 PDF Uncontrolled | 23-01-2016 | Drilling 071 PDF Uncontrolled
071.PD047 - Picking up diverter and landing on TFM with Liebherr crane-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD047 - Picking up diverter and landing on TFM with Liebherr crane-nc.pdf | Drilling 071 PDF Uncontrolled | 10-07-2013 | Drilling 071 PDF Uncontrolled
071.PD048 - Picking up tubulars from pipedeck to well centre R.01 (20-Nov-15).pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD048 - Picking up tubulars from pipedeck to well centre R.01 (20-Nov-15).pdf | Drilling 071 PDF Uncontrolled | 23-01-2016 | Drilling 071 PDF Uncontrolled
071.PD049 - Run casing from TFM and derrick R.01 (20-Nov-15).pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD049 - Run casing from TFM and derrick R.01 (20-Nov-15).pdf | Drilling 071 PDF Uncontrolled | 23-01-2016 | Drilling 071 PDF Uncontrolled
071.PD050 - Removing saver sub and change out die blocks on pipe handler-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD050 - Removing saver sub and change out die blocks on pipe handler-nc.pdf | Drilling 071 PDF Uncontrolled | 10-07-2013 | Drilling 071 PDF Uncontrolled
071.PD051 - Changing Upper IBOP on DDM-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD051 - Changing Upper IBOP on DDM-nc.pdf | Drilling 071 PDF Uncontrolled | 10-07-2013 | Drilling 071 PDF Uncontrolled
071.PD052 - Man riding-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD052 - Man riding-nc.pdf | Drilling 071 PDF Uncontrolled | 10-07-2013 | Drilling 071 PDF Uncontrolled
071.PD053 - Pick up pipe from TFM to WC R.01 (20-Nov-15).pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD053 - Pick up pipe from TFM to WC R.01 (20-Nov-15).pdf | Drilling 071 PDF Uncontrolled | 23-01-2016 | Drilling 071 PDF Uncontrolled
